Score	Method	Counts
18	DirInf-pool	88
19	DirInf-pool	109
20	DirInf-pool	113
21	DirInf-pool	128
22	DirInf-pool	121
23	DirInf-pool	142
24	DirInf-pool	106
25	DirInf-pool	132
26	DirInf-pool	131
27	DirInf-pool	133
28	DirInf-pool	112
29	DirInf-pool	120
30	DirInf-pool	126
31	DirInf-pool	135
32	DirInf-pool	130
33	DirInf-pool	148
34	DirInf-pool	123
35	DirInf-pool	128
36	DirInf-pool	113
37	DirInf-pool	117
38	DirInf-pool	133
39	DirInf-pool	120
40	DirInf-pool	137
41	DirInf-pool	123
42	DirInf-pool	111
43	DirInf-pool	124
44	DirInf-pool	119
45	DirInf-pool	105
46	DirInf-pool	108
47	DirInf-pool	109
48	DirInf-pool	97
49	DirInf-pool	97
50	DirInf-pool	104
51	DirInf-pool	115
52	DirInf-pool	98
53	DirInf-pool	114
54	DirInf-pool	119
55	DirInf-pool	93
56	DirInf-pool	90
57	DirInf-pool	93
58	DirInf-pool	97
59	DirInf-pool	93
60	DirInf-pool	92
61	DirInf-pool	94
62	DirInf-pool	96
63	DirInf-pool	91
64	DirInf-pool	106
65	DirInf-pool	80
66	DirInf-pool	124
67	DirInf-pool	110
68	DirInf-pool	116
69	DirInf-pool	106
70	DirInf-pool	109
71	DirInf-pool	117
72	DirInf-pool	96
73	DirInf-pool	121
74	DirInf-pool	138
75	DirInf-pool	131
76	DirInf-pool	146
77	DirInf-pool	150
78	DirInf-pool	173
79	DirInf-pool	159
80	DirInf-pool	162
81	DirInf-pool	175
82	DirInf-pool	223
83	DirInf-pool	247
84	DirInf-pool	244
85	DirInf-pool	290
86	DirInf-pool	287
87	DirInf-pool	347
88	DirInf-pool	377
89	DirInf-pool	437
90	DirInf-pool	445
91	DirInf-pool	528
92	DirInf-pool	588
93	DirInf-pool	659
94	DirInf-pool	703
95	DirInf-pool	771
96	DirInf-pool	805
97	DirInf-pool	748
98	DirInf-pool	776
99	DirInf-pool	466
